Date,Number of Drivers,Inventory Level,Depot,Quantity Delivered(m3),Distance from Depot (km),Number of Stations,Discounts,Number of Pickups per Day,Demand
5/8/2023,16,5176597,1,169,52,13,1,13,52.0
5/8/2023,15,6946480,2,102,45,7,1,14,52.5
5/8/2023,16,6905385,2,52,22,12,0,11,44.00000000000001
5/8/2023,14,8770009,1,183,53,11,2,10,35.0
5/8/2023,17,6790155,2,52,29,17,2,15,63.74999999999999
5/8/2023,14,6220108,1,171,17,8,1,13,45.5
5/8/2023,11,6835825,2,147,39,9,1,14,38.5
5/8/2023,19,9071791,1,187,18,8,0,16,76.0
5/8/2023,10,8247299,1,107,13,13,2,10,25.0
5/8/2023,19,8565232,2,84,9,11,1,9,42.75000000000001
5/8/2023,7,6378612,1,60,58,8,1,12,21.0
5/8/2023,20,7063482,2,51,67,7,2,16,80.0
5/8/2023,9,7975872,2,141,25,4,0,8,18.0
5/8/2023,12,6760028,1,134,7,18,2,15,45.0
5/8/2023,17,6991904,2,54,25,18,0,10,42.5
5/8/2023,20,8952217,1,126,34,14,1,10,50.0
5/8/2023,8,8423232,1,47,10,8,0,13,26.0
5/8/2023,8,8509741,1,40,35,6,2,12,24.0
5/8/2023,16,1493986,1,86,55,12,1,9,36.0
5/8/2023,9,3815059,2,139,12,12,1,15,33.75
5/8/2023,7,8472005,2,111,67,16,2,11,19.25
5/8/2023,11,1953243,2,177,57,8,0,12,33.0
5/8/2023,7,7114474,2,89,8,4,0,11,19.25
5/8/2023,12,4588053,1,125,22,13,1,12,36.0
5/8/2023,20,1975521,2,36,11,18,2,13,65.0
5/8/2023,12,3665057,1,162,64,17,1,11,33.0
5/8/2023,18,7627269,2,63,55,16,0,15,67.5
5/8/2023,14,7316014,1,51,8,4,1,17,59.5
5/8/2023,18,8113776,2,171,20,6,1,10,45.0
5/9/2023,14,3341629,1,195,1,20,1,10,35.0
5/9/2023,14,7084267,2,109,67,13,1,13,45.5
5/9/2023,8,8383831,2,39,6,6,2,16,32.0
5/9/2023,14,4201838,2,116,44,7,0,13,45.5
5/9/2023,7,8171788,2,160,19,11,2,11,19.25
5/9/2023,17,4501196,1,159,26,4,1,14,59.5
5/9/2023,16,6349449,2,43,68,6,0,15,60.0
5/9/2023,7,4744240,2,146,20,10,2,12,21.0
5/9/2023,12,6965272,2,37,18,18,2,11,33.0
5/9/2023,9,3928459,1,43,23,14,1,16,36.0
5/9/2023,11,5777953,1,90,13,8,1,12,33.0
5/9/2023,10,6450162,1,65,16,6,0,16,40.0
5/9/2023,18,7234427,2,148,16,6,1,16,72.0
5/9/2023,16,7410789,1,86,27,9,0,11,44.00000000000001
5/9/2023,17,8967285,2,126,7,13,2,16,68.0
5/9/2023,19,6726653,1,37,16,8,0,14,66.5
5/9/2023,13,6973688,1,59,11,10,0,9,29.25
5/9/2023,17,5681902,1,127,63,11,0,11,46.75
5/9/2023,16,3545905,1,152,70,13,0,11,44.00000000000001
5/9/2023,15,4520432,2,69,27,4,0,12,45.0
5/9/2023,9,5892385,2,154,54,12,0,10,22.5
5/9/2023,10,4362056,2,188,22,18,1,10,25.0
5/9/2023,8,4466122,1,55,16,16,0,16,32.0
5/9/2023,9,4225207,2,79,4,9,1,10,22.5
5/9/2023,18,6524832,1,129,41,5,0,12,54.0
5/9/2023,10,7839203,1,62,14,16,1,16,40.0
5/9/2023,20,5318964,1,81,27,9,1,10,50.0
5/9/2023,20,9034861,1,181,39,7,0,13,65.0
5/10/2023,11,2154240,1,167,57,16,1,9,24.75
5/10/2023,10,3557335,1,160,60,0,1,20,50.0
5/10/2023,12,9673631,1,175,25,5,1,20,60.0
5/10/2023,20,4652762,2,149,29,8,2,16,80.0
5/10/2023,12,7139576,2,65,5,3,2,13,39.0
5/10/2023,14,4375493,2,160,29,10,2,8,28.000000000000004
5/10/2023,16,6378764,1,15,57,0,1,12,48.0
5/10/2023,11,5572368,1,39,53,17,1,11,30.25
5/10/2023,11,8679210,2,163,47,6,2,8,22.000000000000004
5/10/2023,17,4706611,1,70,68,11,1,13,55.25
5/10/2023,12,6536321,1,172,23,5,0,10,30.0
5/10/2023,9,7548555,2,85,25,14,1,13,29.25
5/10/2023,19,8603002,2,79,24,16,1,10,47.5
5/10/2023,19,4018853,2,162,43,13,1,12,56.99999999999999
5/10/2023,11,4161970,2,85,11,9,0,11,30.25
5/10/2023,13,5256169,1,181,46,5,0,15,48.75
5/10/2023,10,5495107,2,136,30,13,1,9,22.5
5/10/2023,7,6082125,2,95,36,6,1,8,14.000000000000002
5/10/2023,15,5394232,1,93,16,16,1,15,56.25
5/10/2023,13,4723350,2,125,34,16,0,13,42.24999999999999
5/10/2023,7,7977972,1,97,50,9,1,14,24.500000000000004
5/10/2023,18,3836804,1,163,24,14,2,15,67.5
5/10/2023,13,5034363,2,87,55,11,2,11,35.75
5/10/2023,12,6179685,2,155,68,4,1,13,39.0
5/10/2023,17,8317670,1,63,17,9,2,16,68.0
5/10/2023,14,3625437,2,43,42,17,0,9,31.5
5/10/2023,8,3346296,2,155,19,8,0,8,16.0
5/10/2023,9,3790386,1,180,59,11,1,11,24.75
5/10/2023,14,6630171,2,166,25,11,2,17,59.5
5/10/2023,18,5574992,1,81,58,12,1,9,40.5
5/10/2023,10,7912512,2,158,62,13,2,12,30.0
5/11/2023,14,2826252,2,44,22,11,0,8,28.000000000000004
5/11/2023,7,5246298,2,165,43,15,0,13,22.75
5/11/2023,7,8682944,2,167,33,3,0,6,10.5
5/11/2023,8,8362708,2,93,24,12,0,15,30.0
5/11/2023,7,8754677,2,132,11,11,1,17,29.75
5/11/2023,14,7894094,1,34,29,9,0,11,38.5
5/11/2023,19,5590357,1,71,14,14,0,16,76.0
5/11/2023,13,5046518,1,172,43,9,1,17,55.25
5/11/2023,11,9097797,2,106,33,17,2,11,30.25
5/11/2023,17,8621738,2,120,53,7,0,13,55.25
5/11/2023,14,3971467,2,68,38,18,2,9,31.5
5/11/2023,8,7015978,1,173,16,17,0,17,34.0
5/11/2023,20,6380273,1,66,51,9,1,12,60.0
5/11/2023,12,8918247,1,171,7,17,1,12,36.0
5/11/2023,11,6599578,1,74,45,18,1,13,35.75
5/11/2023,20,3781082,1,110,9,14,1,12,60.0
5/11/2023,11,4725840,2,46,10,10,0,11,30.25
5/11/2023,7,7979577,1,124,19,10,0,9,15.75
5/11/2023,16,5068190,1,169,34,11,2,9,36.0
5/11/2023,16,4999813,2,94,20,4,0,17,68.0
5/11/2023,19,8097065,2,132,35,6,2,13,61.75000000000001
5/11/2023,15,2762897,1,90,57,12,1,17,63.74999999999999
5/11/2023,13,3227716,2,89,9,10,1,11,35.75
5/11/2023,17,8588945,1,191,46,13,2,9,38.25
5/11/2023,8,3254619,2,67,33,13,0,11,22.000000000000004
5/11/2023,8,7885121,2,151,29,18,0,14,28.000000000000004
5/11/2023,12,8821784,2,57,67,11,1,17,50.99999999999999
5/11/2023,10,4785727,2,68,42,15,0,10,25.0
5/11/2023,9,7050287,2,34,44,10,2,10,22.5
5/11/2023,7,7355605,1,138,51,17,0,9,15.75
5/11/2023,7,8329230,2,168,54,10,2,13,22.75
5/11/2023,8,8735441,1,167,58,9,0,15,30.0
5/11/2023,20,6981625,2,60,67,14,2,10,50.0
5/11/2023,9,6052544,2,114,56,13,1,11,24.75
5/11/2023,11,6702566,2,54,47,10,1,17,46.75
5/11/2023,14,8262014,2,98,11,16,1,11,38.5
5/11/2023,7,4257135,2,75,33,14,2,17,29.75
5/12/2023,18,4947690,2,45,32,18,2,13,58.5
5/12/2023,7,2167317,1,182,23,15,0,20,35.0
5/12/2023,13,7562376,1,158,34,16,0,8,26.0
5/12/2023,15,6373846,1,85,67,17,2,17,63.74999999999999
5/12/2023,14,6441497,1,47,24,17,0,8,28.000000000000004
5/12/2023,20,6400165,2,180,60,6,2,16,80.0
5/12/2023,12,7325742,1,59,17,4,0,17,50.99999999999999
5/12/2023,17,7035422,1,50,40,7,1,13,55.25
5/12/2023,10,8313141,1,164,33,13,2,11,27.500000000000004
5/12/2023,13,5311976,1,165,54,13,1,9,29.25
5/12/2023,15,4169801,2,167,67,7,1,16,60.0
5/12/2023,14,6056948,2,131,14,8,2,15,52.5
5/12/2023,15,5724452,2,50,31,18,2,10,37.5
5/12/2023,19,9083060,1,159,20,5,0,17,80.74999999999999
5/12/2023,13,8015232,1,85,4,7,2,17,55.25
5/12/2023,11,6122211,1,142,20,16,1,17,46.75
5/12/2023,15,8531912,1,161,14,6,2,13,48.75
5/12/2023,13,6189574,2,84,5,18,1,12,39.0
5/12/2023,20,8374719,1,38,32,15,2,9,45.0
5/12/2023,18,6949857,2,99,6,13,2,8,36.0
5/12/2023,18,7046919,1,90,12,13,0,14,63.0
5/12/2023,19,7564488,1,142,23,17,2,17,80.74999999999999
5/12/2023,19,3855409,1,42,47,13,0,8,38.0
5/12/2023,17,4698694,1,97,34,7,0,11,46.75
5/12/2023,10,5688161,1,129,54,7,1,12,30.0
5/12/2023,9,6427758,2,90,49,10,2,16,36.0
5/12/2023,15,6038094,2,84,51,11,1,8,30.0
5/12/2023,15,8685387,1,87,28,12,2,13,48.75
5/12/2023,13,3150860,1,167,38,10,1,12,39.0
5/12/2023,8,3465908,2,166,60,7,1,13,26.0
5/12/2023,9,8152137,1,77,56,15,2,17,38.25
5/12/2023,12,4040520,1,105,5,4,1,13,39.0
5/12/2023,16,4444690,2,57,49,5,0,13,52.0
5/12/2023,9,2734700,2,68,43,9,1,15,33.75
5/12/2023,9,2899379,1,60,39,4,2,9,20.25
5/12/2023,11,6070212,1,174,33,16,0,12,33.0
5/12/2023,13,8829274,2,157,46,6,1,8,26.0
5/12/2023,7,5461523,2,144,20,10,2,9,15.75
5/12/2023,10,8092010,1,68,28,7,0,12,30.0
5/12/2023,7,8829486,2,191,57,8,0,15,26.25
5/12/2023,18,3996634,2,118,63,8,0,10,45.0
5/12/2023,12,3721085,2,46,38,14,1,13,39.0
5/12/2023,7,5463205,1,167,57,7,2,16,28.000000000000004
5/12/2023,7,7736546,1,94,37,15,2,11,19.25
5/12/2023,13,7120630,2,96,8,16,1,14,45.5
5/12/2023,7,7250637,1,152,8,10,1,17,29.75
5/12/2023,7,8668192,1,72,46,13,2,10,17.5
5/13/2023,6,4042626,2,145,29,14,1,13,19.5
5/13/2023,7,8685310,2,14,68,0,0,18,31.5
5/13/2023,8,777228,1,168,63,8,2,20,40.0
5/13/2023,16,7554702,1,138,6,7,0,15,60.0
5/13/2023,7,5774317,1,173,62,18,2,9,15.75
5/13/2023,20,4015349,1,172,33,12,1,11,55.00000000000001
5/13/2023,10,3965859,1,50,34,5,2,8,20.0
5/13/2023,14,8594899,1,71,48,11,1,16,56.00000000000001
5/13/2023,8,6479525,1,163,15,9,2,13,26.0
5/13/2023,9,4264595,1,137,12,5,0,9,20.25
5/13/2023,15,4069506,2,74,11,14,0,17,63.74999999999999
5/13/2023,15,8592636,2,46,26,7,2,9,33.75
5/13/2023,10,6611963,1,144,43,12,1,10,25.0
5/13/2023,17,6350971,1,48,36,12,2,16,68.0
5/13/2023,8,6188378,2,92,18,7,1,12,24.0
5/13/2023,20,9079956,1,173,40,12,1,11,55.00000000000001
5/13/2023,16,4213519,2,159,68,15,1,17,68.0
5/13/2023,10,9089862,1,159,55,13,0,12,30.0
5/13/2023,18,8149737,2,137,65,14,0,11,49.5
5/13/2023,9,9012905,2,153,53,4,2,11,24.75
5/13/2023,20,7038502,2,35,45,7,1,9,45.0
5/13/2023,13,5044525,1,185,36,8,0,17,55.25
5/13/2023,10,8408484,2,55,20,12,2,8,20.0
5/13/2023,8,1899049,2,47,55,10,1,16,32.0
5/13/2023,9,4935479,2,114,69,12,2,8,18.0
5/13/2023,14,7900012,2,62,45,18,0,17,59.5
5/13/2023,10,8134167,1,185,45,9,1,14,35.0
5/13/2023,15,4392752,1,167,13,7,0,10,37.5
5/13/2023,17,4528370,2,66,65,12,1,13,55.25
5/13/2023,17,3630197,2,157,61,11,0,17,72.25
5/13/2023,19,8164502,2,153,34,17,1,12,56.99999999999999
5/14/2023,6,6540550,2,66,5,8,2,5,7.5
5/14/2023,11,8924312,1,163,37,6,2,14,38.5
5/14/2023,9,3624914,2,127,40,4,1,10,22.5
5/14/2023,18,6935519,1,176,36,6,0,13,58.5
5/14/2023,13,6332689,2,83,68,14,1,16,52.0
5/14/2023,12,6561102,1,65,32,16,1,12,36.0
5/14/2023,20,8037039,1,124,23,12,0,13,65.0
5/14/2023,9,7453771,2,50,60,16,1,11,24.75
5/14/2023,9,6761776,2,83,45,12,0,11,24.75
5/14/2023,17,6044741,1,163,35,7,2,10,42.5
5/14/2023,12,9070780,2,109,32,10,0,8,24.0
5/14/2023,11,5592305,1,58,11,9,0,11,30.25
5/14/2023,9,6388335,2,160,70,18,0,8,18.0
5/14/2023,8,5343330,2,161,64,11,2,11,22.000000000000004
5/14/2023,7,3810259,2,148,44,10,2,15,26.25
5/14/2023,16,4428134,2,141,24,13,0,17,68.0
5/14/2023,12,7965367,2,115,61,18,2,10,30.0
5/14/2023,11,4845291,2,77,54,16,1,14,38.5
5/14/2023,12,4566842,2,86,69,14,2,11,33.0
5/14/2023,9,4778410,2,46,69,7,0,13,29.25
5/14/2023,9,6871659,1,44,49,18,0,11,24.75
5/14/2023,12,5465368,2,63,70,17,1,12,36.0
5/14/2023,14,7732093,2,76,5,12,1,13,45.5
5/14/2023,15,4169745,2,55,27,12,2,13,48.75
5/14/2023,8,7184764,1,51,32,8,1,14,28.000000000000004
5/14/2023,14,1534222,2,191,12,4,0,8,28.000000000000004
5/14/2023,14,2109205,1,97,38,13,1,15,52.5
5/14/2023,19,1673034,1,63,31,7,2,12,56.99999999999999
5/14/2023,20,4340770,2,87,33,7,0,9,45.0
5/14/2023,14,5950937,1,107,52,14,1,14,49.00000000000001
5/14/2023,8,3566321,1,108,48,6,2,12,24.0
5/14/2023,16,5358188,2,146,44,18,2,17,68.0
5/14/2023,13,4902569,1,163,28,7,2,16,52.0
5/14/2023,14,6909007,1,121,22,14,0,16,56.00000000000001
5/14/2023,8,1638999,1,129,52,16,1,13,26.0
5/14/2023,15,8921352,2,59,22,14,0,10,37.5
5/14/2023,18,8544169,1,111,25,11,2,12,54.0
5/14/2023,11,4708423,1,168,62,10,1,13,35.75
5/14/2023,14,7956553,1,140,8,11,1,15,52.5
5/14/2023,10,8371817,2,62,30,6,1,11,27.500000000000004
5/14/2023,20,5590199,2,63,69,11,1,15,75.0
5/15/2023,5,1328244,1,42,37,1,1,13,16.25
5/15/2023,10,4819145,1,48,8,17,2,11,27.500000000000004
5/15/2023,10,9041258,2,25,70,4,2,7,17.5
5/15/2023,16,3745061,2,95,38,2,1,8,32.0
5/15/2023,16,3975794,2,63,27,9,1,13,52.0
5/15/2023,20,6836868,1,137,55,14,2,11,55.00000000000001
5/15/2023,15,5367582,1,108,39,6,0,15,56.25
5/15/2023,13,4613746,1,144,38,18,2,9,29.25
5/15/2023,20,8835342,1,40,55,15,0,16,80.0
5/15/2023,10,4506769,2,179,26,11,2,17,42.5
5/15/2023,15,6879039,1,179,13,17,0,15,56.25
5/15/2023,8,6531199,2,185,62,14,1,9,18.0
5/15/2023,10,8973942,2,118,57,4,2,15,37.5
5/15/2023,7,7794379,2,136,19,12,2,11,19.25
5/15/2023,8,8013814,2,65,8,4,2,9,18.0
5/15/2023,12,5064827,2,41,65,8,0,8,24.0
5/15/2023,19,4585284,1,134,59,16,2,8,38.0
5/15/2023,19,6111120,1,128,27,7,1,14,66.5
5/15/2023,10,6111068,2,115,63,18,0,13,32.5
5/15/2023,12,5067152,1,189,48,14,1,15,45.0
5/15/2023,9,3519771,1,124,22,14,1,16,36.0
5/15/2023,7,6737051,2,36,46,8,2,12,21.0
5/15/2023,8,6907591,2,149,12,14,0,10,20.0
5/15/2023,18,4795596,1,49,45,9,0,11,49.5
5/15/2023,10,6957615,2,107,23,5,0,9,22.5
5/15/2023,11,7356885,1,94,24,5,1,11,30.25
5/15/2023,12,8603101,1,79,6,11,2,15,45.0
5/16/2023,12,929110,2,165,76,7,0,16,48.0
5/16/2023,8,2044581,1,108,79,10,1,20,40.0
5/16/2023,11,4248895,1,102,57,17,2,11,30.25
5/16/2023,7,6189815,2,134,6,6,1,15,26.25
5/16/2023,16,8995251,1,99,17,4,1,17,68.0
5/16/2023,8,8439430,1,78,9,9,0,10,20.0
5/16/2023,16,8948849,2,85,41,12,0,16,64.0
5/16/2023,13,8177807,2,138,66,10,2,9,29.25
5/16/2023,11,6248744,2,156,50,5,1,15,41.25
5/16/2023,20,6174791,2,170,26,14,0,14,70.0
5/16/2023,8,7370902,2,116,6,8,2,14,28.000000000000004
5/16/2023,12,6051680,2,84,36,11,2,8,24.0
5/16/2023,14,5524874,1,83,60,4,0,13,45.5
5/16/2023,20,6513692,1,181,5,12,2,11,55.00000000000001
5/16/2023,8,5918603,1,100,27,17,1,17,34.0
5/16/2023,15,4240042,2,190,66,13,1,11,41.25
5/16/2023,13,8574656,1,54,35,7,0,8,26.0
5/16/2023,7,7478201,2,47,48,18,2,15,26.25
5/16/2023,17,8414601,2,71,66,13,1,16,68.0
5/16/2023,12,6534185,1,141,59,5,0,13,39.0
5/16/2023,14,7713427,1,183,11,6,0,13,45.5
5/16/2023,19,4592928,1,114,26,6,2,15,71.25
5/16/2023,7,5077450,1,62,49,13,0,10,17.5
5/16/2023,13,3668199,2,192,54,10,1,16,52.0
5/16/2023,15,6492711,1,41,58,18,0,16,60.0
5/16/2023,18,8456695,2,120,31,11,1,11,49.5
5/16/2023,10,1262530,2,142,47,7,1,11,27.500000000000004
5/16/2023,13,3336921,1,148,34,7,1,13,42.24999999999999
5/16/2023,19,2678727,2,167,68,5,2,11,52.25
5/16/2023,7,5776991,2,92,40,6,1,10,17.5
5/16/2023,20,5807819,1,53,24,4,1,16,80.0
5/16/2023,11,5292680,1,95,63,9,2,9,24.75
5/16/2023,20,5193224,2,64,60,15,1,9,45.0
5/16/2023,12,5275359,1,168,34,18,1,15,45.0
5/16/2023,12,5815753,1,87,4,10,1,16,48.0
5/16/2023,7,6494481,1,168,12,17,0,15,26.25
5/16/2023,11,6183375,2,137,10,7,1,8,22.000000000000004
5/16/2023,16,4550046,1,87,45,15,0,9,36.0
5/17/2023,16,1341818,2,66,45,19,1,11,44.00000000000001
5/17/2023,5,8715921,1,196,45,10,2,19,23.75
5/17/2023,16,2741525,2,105,10,14,2,7,28.000000000000004
5/17/2023,10,1411498,2,188,43,11,0,16,40.0
5/17/2023,20,2670412,2,191,25,6,0,6,30.0
5/17/2023,10,4079393,1,114,35,14,1,10,25.0
5/17/2023,14,7277229,2,105,21,7,1,8,28.000000000000004
5/17/2023,7,7948736,2,105,7,15,1,9,15.75
5/17/2023,11,8149984,2,177,16,8,2,16,44.00000000000001
5/17/2023,13,3918658,2,135,23,6,0,9,29.25
5/17/2023,8,6969886,1,185,50,15,1,15,30.0
5/17/2023,16,5416898,1,89,21,6,0,10,40.0
5/17/2023,11,6811165,2,191,14,14,2,16,44.00000000000001
5/17/2023,8,8874604,1,159,53,16,0,10,20.0
5/17/2023,10,5800910,2,130,68,17,2,14,35.0
5/17/2023,13,6273816,2,169,62,6,0,13,42.24999999999999
5/17/2023,11,7961390,1,190,45,18,0,12,33.0
5/17/2023,8,4391128,2,189,38,17,1,10,20.0
5/17/2023,7,4442510,2,172,5,4,0,17,29.75
5/17/2023,7,4223945,1,171,49,18,2,16,28.000000000000004
5/17/2023,17,6085025,2,143,22,16,1,16,68.0
5/17/2023,14,7412522,2,151,7,9,1,16,56.00000000000001
5/17/2023,8,4601976,1,176,62,18,0,10,20.0
5/17/2023,7,6766152,2,127,40,13,1,16,28.000000000000004
5/17/2023,13,4007458,2,120,45,9,1,12,39.0
5/17/2023,9,5573423,1,128,62,16,2,10,22.5
5/17/2023,19,3530237,1,45,42,5,1,9,42.75000000000001
5/17/2023,18,4689645,2,149,9,6,0,12,54.0
5/17/2023,8,1919573,1,96,68,5,0,8,16.0
5/17/2023,12,7168330,1,127,66,14,1,12,36.0
5/17/2023,11,2729468,1,83,39,8,2,10,27.500000000000004
5/17/2023,11,5906295,2,169,34,15,1,16,44.00000000000001
5/17/2023,19,6911378,1,74,5,7,0,16,76.0
5/17/2023,13,3338076,2,175,46,16,0,9,29.25
5/17/2023,9,4060954,2,164,42,6,1,17,38.25
5/17/2023,15,8613099,2,124,43,9,1,8,30.0
5/17/2023,13,6545594,1,176,4,4,2,15,48.75
5/17/2023,12,7278918,1,114,58,16,0,14,42.0
5/17/2023,20,8997229,1,92,12,8,1,12,60.0
5/17/2023,8,5796765,1,166,60,17,2,9,18.0
5/17/2023,13,4551546,1,184,42,18,0,10,32.5
5/17/2023,17,4518479,2,71,16,12,1,10,42.5
5/18/2023,14,361101,1,190,77,19,2,12,42.0
5/18/2023,16,1073426,1,173,40,20,2,9,36.0
5/18/2023,15,7022528,2,110,48,10,1,7,26.25
5/18/2023,11,3723116,1,188,56,6,1,9,24.75
5/18/2023,16,6528804,1,103,49,9,1,16,64.0
5/18/2023,15,8941119,1,103,22,4,0,14,52.5
5/18/2023,17,4302986,1,70,63,16,1,9,38.25
5/18/2023,12,6468162,1,137,44,13,1,13,39.0
5/18/2023,9,5586762,1,61,27,16,0,15,33.75
5/18/2023,15,6544357,2,37,60,13,2,10,37.5
5/18/2023,9,8746119,2,54,39,9,1,12,27.0
5/18/2023,9,6323996,1,157,65,9,2,13,29.25
5/18/2023,11,5775129,1,50,10,16,2,10,27.500000000000004
5/18/2023,9,5861744,2,149,53,16,2,9,20.25
5/18/2023,7,5628857,1,109,6,11,1,12,21.0
5/18/2023,20,5463349,2,64,68,4,2,16,80.0
5/18/2023,19,5394569,2,148,64,5,2,16,76.0
5/18/2023,10,3640369,1,123,70,16,0,14,35.0
5/18/2023,15,5070349,1,89,14,12,0,14,52.5
5/18/2023,20,4796753,1,64,21,14,1,14,70.0
5/18/2023,8,7229303,2,44,38,12,2,16,32.0
5/18/2023,7,5738189,1,160,58,14,0,12,21.0
5/18/2023,7,4795826,2,45,45,12,0,14,24.500000000000004
5/18/2023,12,8084237,1,55,6,4,2,8,24.0
5/18/2023,13,6565553,1,101,35,8,0,14,45.5
5/18/2023,12,6139075,1,84,43,9,2,13,39.0
5/18/2023,15,7908276,2,62,68,17,1,9,33.75
5/18/2023,8,7016421,2,67,42,12,1,16,32.0
5/18/2023,8,6002671,1,164,36,13,2,11,22.000000000000004
5/18/2023,20,8354357,2,120,39,14,2,11,55.00000000000001
5/18/2023,18,4690923,2,67,46,4,0,11,49.5
5/18/2023,14,5604818,1,187,64,5,1,13,45.5
5/18/2023,16,4066418,2,188,45,13,0,9,36.0
5/18/2023,8,5892088,2,153,6,7,2,13,26.0
5/18/2023,13,6695861,2,37,41,8,0,8,26.0
5/18/2023,10,9087583,2,51,30,14,0,13,32.5
5/18/2023,20,6012876,1,129,55,8,1,17,85.0
5/18/2023,12,6794729,2,61,49,14,2,13,39.0
5/18/2023,12,4945901,2,61,57,7,0,9,27.0
5/18/2023,11,7389438,2,149,15,12,0,14,38.5
5/18/2023,16,5549825,2,149,26,4,1,10,40.0
5/18/2023,15,7740135,1,98,34,6,2,17,63.74999999999999
5/18/2023,15,8238007,2,61,14,12,0,13,48.75
5/18/2023,7,4148879,2,100,9,16,0,12,21.0
5/18/2023,11,6816562,2,91,21,18,2,14,38.5
5/18/2023,13,5879906,1,155,13,13,1,9,29.25
5/18/2023,10,3874802,2,187,46,12,1,16,40.0
5/19/2023,16,657077,1,95,68,14,0,16,64.0
5/19/2023,16,654684,2,113,57,9,1,10,40.0
5/19/2023,5,7821062,1,84,34,13,1,18,22.5
5/19/2023,10,8595448,2,39,53,8,0,13,32.5
5/19/2023,13,5413594,2,61,56,18,2,10,32.5
5/19/2023,19,6448029,2,168,62,11,1,8,38.0
5/19/2023,12,8804671,2,77,4,18,2,13,39.0
5/19/2023,8,6884701,1,87,35,18,1,17,34.0
5/19/2023,11,6360113,1,112,7,15,1,13,35.75
5/19/2023,13,8242123,1,41,40,4,2,13,42.24999999999999
5/19/2023,13,5928988,2,82,56,9,2,16,52.0
5/19/2023,9,7811690,2,35,62,15,2,14,31.5
5/19/2023,19,7878938,1,191,55,8,2,17,80.74999999999999
5/19/2023,8,7800480,2,51,4,10,1,10,20.0
5/19/2023,16,5081999,2,86,18,16,2,9,36.0
5/19/2023,14,3715366,1,60,45,5,0,9,31.5
5/19/2023,15,5551985,2,186,26,11,0,10,37.5
5/19/2023,11,5899847,2,186,42,5,1,16,44.00000000000001
5/19/2023,16,8749507,2,39,32,4,1,17,68.0
5/19/2023,11,5109372,1,167,14,9,2,12,33.0
5/19/2023,19,8149847,2,63,15,14,0,10,47.5
5/19/2023,9,8205286,2,117,51,12,2,13,29.25
5/19/2023,17,6066878,1,107,62,17,2,8,34.0
5/19/2023,14,1621366,1,102,37,9,1,14,49.00000000000001
5/19/2023,16,4713903,2,70,25,4,0,16,64.0
5/19/2023,18,4035131,1,112,7,10,1,13,58.5
5/19/2023,9,8095639,1,102,38,13,2,10,22.5
5/19/2023,15,4451713,1,151,64,4,0,14,52.5
5/19/2023,16,4066583,1,130,50,9,1,11,44.00000000000001
5/19/2023,17,6790364,2,90,27,7,1,10,42.5
5/19/2023,10,8225370,2,179,13,14,2,15,37.5
5/20/2023,13,918328,2,107,54,4,2,6,19.5
5/20/2023,6,1123799,1,110,38,18,0,17,25.499999999999996
5/20/2023,12,406158,1,12,57,2,1,14,42.0
5/20/2023,5,559631,2,47,37,1,2,6,7.5
5/20/2023,11,8082547,2,120,36,17,2,10,27.500000000000004
5/20/2023,20,7580556,1,182,41,15,1,13,65.0
5/20/2023,7,4000093,1,171,5,10,2,13,22.75
5/20/2023,18,4960063,2,181,66,8,1,17,76.5
5/20/2023,17,6038957,1,143,4,10,0,11,46.75
5/20/2023,11,4514590,2,48,70,7,0,14,38.5
5/20/2023,14,5326564,1,98,15,9,0,11,38.5
5/20/2023,7,8738231,1,158,67,6,1,12,21.0
5/20/2023,17,7706100,1,99,29,8,2,8,34.0
5/20/2023,19,5279760,1,189,47,13,0,11,52.25
5/20/2023,12,7573108,2,41,47,9,0,12,36.0
5/20/2023,13,7808071,1,92,48,7,2,10,32.5
5/20/2023,14,8425262,1,183,16,9,0,13,45.5
5/20/2023,18,6031078,1,50,59,4,1,12,54.0
5/20/2023,14,6661664,1,167,9,15,1,12,42.0
5/20/2023,7,5164435,2,138,12,18,0,10,17.5
5/20/2023,17,3941610,1,110,38,9,1,10,42.5
5/20/2023,13,5065381,1,144,11,10,2,12,39.0
5/20/2023,15,1910230,1,124,21,6,2,12,45.0
5/20/2023,20,8414335,1,117,48,15,2,16,80.0
5/20/2023,17,3976041,2,126,7,8,2,17,72.25
5/20/2023,12,7825098,1,120,19,11,2,15,45.0
5/20/2023,13,6956697,1,146,7,13,0,8,26.0
5/20/2023,12,6913028,1,63,18,4,0,11,33.0
5/20/2023,9,4963656,2,99,16,16,0,8,18.0
5/20/2023,20,4930069,1,98,42,12,1,8,40.0
5/20/2023,15,4317008,1,164,40,15,0,15,56.25
5/21/2023,14,939396,1,34,78,18,2,14,49.00000000000001
5/21/2023,11,256146,1,98,18,6,0,6,16.5
5/21/2023,20,3147568,2,10,62,10,2,7,35.0
5/21/2023,12,6838534,2,79,24,10,0,17,50.99999999999999
5/21/2023,20,3664317,1,135,41,15,0,13,65.0
5/21/2023,18,4550669,1,149,43,5,2,16,72.0
5/21/2023,15,5878017,1,172,65,11,0,10,37.5
5/21/2023,17,6174753,1,188,7,6,0,16,68.0
5/21/2023,17,6089858,2,156,46,16,1,13,55.25
5/21/2023,19,7479738,2,178,47,10,0,15,71.25
5/21/2023,17,7470610,1,110,24,11,1,11,46.75
